Brand,Model,Year,VehicleAge,UsedOrNew,Transmission,DriveType,FuelType,EngineSizeL,Cylinders,FuelConsumption_L100km,Kilometres,ExteriorColour,InteriorColour,State,BodyType,Doors,Seats,Price,PricePerYearAge
Hyundai,I30,2018,5,USED,Automatic,Front,Unleaded,2.0,4.0,7.4,62719.0,Silver,Black,NSW,Hatchback,4.0,5.0,21999.0,4399.8
Nissan,X-Trail,2020,3,USED,Automatic,Front,Unleaded,2.5,4.0,7.9,52035.0,Grey,,NSW,SUV,4.0,5.0,27990.0,9330.0
Honda,City,2010,13,USED,Automatic,Front,Unleaded,1.5,4.0,6.6,146445.0,Black,,NSW,Sedan,4.0,5.0,8950.0,688.4615384615385
Honda,CR-V,2020,3,USED,Automatic,Front,Unleaded,1.5,4.0,7.3,35214.0,Grey,Black,NSW,SUV,4.0,7.0,37880.0,12626.666666666666
Holden,Cruze,2014,9,USED,Manual,Front,Unleaded,1.6,4.0,7.4,163000.0,Red,,NSW,Hatchback,5.0,5.0,7950.0,883.3333333333334
Jeep,Grand,2013,10,USED,Automatic,Rear,Premium,3.6,6.0,10.1,69001.0,Grey,Black,NSW,SUV,4.0,5.0,24990.0,2499.0
Toyota,RAV4,2007,16,USED,Automatic,4WD,Unleaded,2.4,4.0,9.6,106718.0,Silver,Grey,NSW,SUV,4.0,5.0,14999.0,937.4375
Holden,Commodore,2016,7,USED,Automatic,Rear,Unleaded,3.0,6.0,8.3,59689.0,Red,Black,NSW,Sedan,4.0,5.0,22999.0,3285.5714285714284
Mercedes-Benz,CLC200,2010,13,USED,Automatic,Rear,Premium,1.8,4.0,9.0,177834.0,Silver,,NSW,Coupe,2.0,4.0,7999.0,615.3076923076923
Dodge,Journey,2012,11,USED,Automatic,Other,Unleaded,,,,147589.0,White,,NSW,Wagon,,,10999.0,999.9090909090909
Mazda,6,2013,10,USED,Automatic,Front,Unleaded,2.5,4.0,6.6,105767.0,White,Black,NSW,Sedan,4.0,5.0,19999.0,1999.9
Volkswagen,Caddy,2018,5,USED,Automatic,Front,Premium,1.4,4.0,6.0,87293.0,White,,NSW,Commercial,3.0,2.0,30999.0,6199.8
Honda,Civic,2013,10,USED,Automatic,Front,Unleaded,1.8,4.0,6.7,154347.0,Silver,,NSW,Sedan,4.0,5.0,15990.0,1599.0
Jeep,Compass,2021,2,USED,Automatic,Front,Unleaded,2.4,4.0,7.9,20827.0,White,Black,NSW,SUV,4.0,5.0,32888.0,16444.0
Toyota,HiAce,2008,15,USED,Automatic,Other,Unleaded,,,,112980.0,White,Black,NSW,Commercial,,,31900.0,2126.6666666666665
Mazda,CX-9,2014,9,USED,Automatic,Other,,,,,97745.0,Blue,Grey,NSW,Wagon,,,22999.0,2555.4444444444443
Toyota,Yaris,2010,13,USED,Automatic,Front,Unleaded,1.3,4.0,6.5,147626.0,White,,NSW,Hatchback,5.0,5.0,10995.0,845.7692307692307
Jeep,Grand,2014,9,USED,Automatic,4WD,Diesel,3.0,6.0,7.5,114424.0,Grey,Black,NSW,SUV,4.0,5.0,29990.0,3332.222222222222
Mazda,3,2009,14,USED,Manual,Front,Unleaded,2.5,4.0,8.6,153020.0,Red,,NSW,Hatchback,5.0,5.0,13950.0,996.4285714285714
Ford,Ranger,2016,7,USED,Automatic,4WD,Diesel,3.2,5.0,9.0,98700.0,Blue,,NSW,Ute / Tray,4.0,5.0,36999.0,5285.571428571428
Holden,Captiva,2011,12,USED,Automatic,Other,Diesel,,,,183924.0,White,,NSW,Wagon,,,9990.0,832.5
Toyota,86,2013,10,USED,Automatic,Rear,Premium,2.0,4.0,7.1,103706.0,Orange,Grey,NSW,Coupe,2.0,4.0,24990.0,2499.0
Volkswagen,Golf,2013,10,USED,Automatic,Front,Premium,1.4,4.0,5.2,126532.0,Gold,Black,NSW,Hatchback,5.0,5.0,13990.0,1399.0
Mitsubishi,Lancer,2013,10,USED,Automatic,Front,Unleaded,2.0,4.0,7.3,73421.0,Grey,Black,NSW,Hatchback,5.0,5.0,16990.0,1699.0
Toyota,Camry,2009,14,USED,Automatic,Front,Unleaded,2.4,4.0,9.9,155135.0,White,Black,NSW,Sedan,4.0,5.0,10995.0,785.3571428571429
Hyundai,I20,2013,10,USED,Automatic,Front,Unleaded,1.4,4.0,6.4,123330.0,Grey,Black,NSW,Hatchback,5.0,5.0,12990.0,1299.0
Mitsubishi,Lancer,2014,9,USED,Automatic,Front,Unleaded,2.4,4.0,8.9,44249.0,Silver,Black,NSW,Hatchback,5.0,5.0,18990.0,2110.0
Mazda,2,2018,5,USED,Automatic,Front,Unleaded,1.5,4.0,4.9,27100.0,Silver,Cloth,NSW,Hatchback,5.0,5.0,23999.0,4799.8
Mazda,3,2009,14,USED,Automatic,Front,Unleaded,2.0,4.0,8.2,70661.0,White,,NSW,Hatchback,5.0,5.0,14995.0,1071.0714285714287
Mitsubishi,Triton,2014,9,USED,Automatic,4WD,Diesel,2.5,4.0,9.3,215100.0,White,,NSW,Ute / Tray,4.0,5.0,18995.0,2110.5555555555557
Volkswagen,Golf,2014,9,USED,Automatic,Front,Premium,1.4,4.0,5.4,155036.0,Black,Black,NSW,Hatchback,5.0,5.0,14990.0,1665.5555555555557
